                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.81731,                0.54121,                 1.1291,                0.88222,                0.84131,                0.90281,                0.66025,                0.96989,                   0.55,                 1.1862,               0.003466,               0.003466,               0.003466
                    135,                0.81477,                0.53742,                 1.1276,                 0.8822,                0.83974,                0.90285,                0.66058,                0.97025,                0.55064,                 1.1871,              0.0034165,              0.0034165,              0.0034165
                    136,                 0.8137,                0.54054,                  1.128,                0.88211,                0.84014,                 0.9024,                0.66074,                0.97051,                0.55058,                 1.1874,               0.003367,               0.003367,               0.003367
                    137,                0.80853,                0.53223,                 1.1229,                0.88136,                  0.841,                0.90231,                  0.661,                0.97077,                0.55077,                 1.1884,              0.0033175,              0.0033175,              0.0033175
                    138,                0.80555,                0.52718,                 1.1175,                0.88265,                 0.8407,                0.90231,                0.66119,                0.97141,                0.54905,                 1.1897,               0.003268,               0.003268,               0.003268
                    139,                 0.8073,                0.53011,                  1.118,                0.88677,                 0.8384,                0.90275,                0.66131,                0.97212,                 0.5487,                 1.1905,              0.0032185,              0.0032185,              0.0032185
                    140,                0.80271,                0.52589,                 1.1134,                0.88003,                0.84411,                0.90271,                0.66138,                0.97242,                0.54813,                 1.1911,               0.003169,               0.003169,               0.003169
                    141,                0.79732,                0.52213,                  1.116,                0.87932,                0.84511,                0.90278,                0.66199,                0.97257,                0.54785,                 1.1914,              0.0031195,              0.0031195,              0.0031195
                    142,                0.80011,                0.52367,                 1.1181,                0.88046,                0.84365,                0.90225,                0.66185,                0.97283,                0.54786,                 1.1924,                0.00307,                0.00307,                0.00307
                    143,                0.79447,                0.51673,                 1.1143,                 0.8834,                0.84247,                0.90306,                0.66193,                0.97312,                0.54803,                 1.1929,              0.0030205,              0.0030205,              0.0030205
                    144,                0.78818,                 0.5105,                  1.106,                 0.8848,                0.84232,                 0.9027,                0.66208,                 0.9737,                0.54724,                 1.1936,               0.002971,               0.002971,               0.002971
                    145,                0.78434,                0.51039,                 1.1048,                0.88628,                0.84114,                0.90252,                0.66251,                0.97418,                0.54622,                 1.1948,              0.0029215,              0.0029215,              0.0029215
                    146,                0.78399,                0.50947,                  1.102,                0.88541,                0.84032,                0.90237,                0.66246,                0.97427,                0.54587,                  1.195,               0.002872,               0.002872,               0.002872
                    147,                 0.7834,                0.50885,                 1.1042,                0.88053,                0.84612,                 0.9023,                0.66257,                0.97465,                0.54556,                 1.1958,              0.0028225,              0.0028225,              0.0028225
                    148,                0.78157,                0.50353,                 1.1016,                0.87786,                 0.8486,                0.90175,                0.66235,                0.97488,                 0.5453,                 1.1968,               0.002773,               0.002773,               0.002773
                    149,                0.78057,                0.50132,                 1.0999,                0.88022,                0.84741,                0.90163,                0.66242,                0.97537,                 0.5447,                 1.1979,              0.0027235,              0.0027235,              0.0027235
